datetime,PM2.5,NO2,CO,u10,v10,t2m,ws10,wd10,rh,sp,tp,ssrd,strd,ws100,wd100,blh,O3
2022/1/3 16:00,11,5.6,0.4,-5.6972055,-3.055591,21.359573,6.465077,61.777153,77.2447,1013.464,0.01383014,1106429,1366542.5,5.830622,64.92019,723.8338,101
2022/1/3 17:00,11.6,6,0.4,-5.275868,-2.85673,21.107658,5.9998503,61.57474,78.81346,1013.8093,0.005122274,700390.5,1386845.5,5.894564,63.047955,698.94806,100.4
2022/1/3 18:00,11.8,6.6,0.4,-5.2099085,-2.5313864,20.732948,5.792825,64.09407,80.38895,1014.32166,0,271375.25,1324375.2,6.900355,66.06557,545.7531,92.6
2022/1/3 19:00,13.6,6.6,0.44,-5.2537756,-2.070827,20.25241,5.6471663,68.48782,82.69883,1014.8786,0,2315.75,1270422.5,7.4346266,65.98331,494.11777,86.4
2022/1/3 20:00,14.4,8.2,0.44,-5.4168773,-1.5704787,20.025307,5.6402464,73.832726,84.0005,1015.48236,0.00204891,0,1274540.5,8.021643,63.76111,484.76846,83.4
2022/1/3 21:00,13.4,10.8,0.42,-5.4875937,-1.2224107,19.82209,5.622803,77.44507,85.04413,1015.959,0,0,1258638.5,8.675844,60.95925,474.6247,75.75
2022/1/3 22:00,12.2,12.4,0.42,-5.501335,-1.0880034,19.659393,5.6085234,78.81516,85.74292,1016.12164,0,0,1256083,8.999268,60.822044,451.38876,76.5
2022/1/3 23:00,13,12,0.42,-5.412332,-1.1019938,19.545082,5.5238223,78.494125,86.1757,1015.91675,0,0,1249978.5,8.759649,63.556267,415.183,77
2022/1/4 0:00,14.4,7.8,0.42,-4.8909974,-1.1811665,19.410324,5.0317,76.42662,87.04726,1015.74963,0,0,1226836,8.654114,66.03303,380.33682,86.6
2022/1/4 1:00,14.8,6.6,0.44,-4.524626,-1.2678602,19.32396,4.6989536,74.34799,87.366455,1015.4823,0,0,1233935,8.282187,65.92153,363.36444,86
2022/1/4 2:00,14.6,6,0.44,-4.1353164,-1.3141991,19.282188,4.3393493,72.36954,87.27276,1015.0078,0,0,1233509,7.237531,66.97865,352.74713,83.6
2022/1/4 3:00,15,7,0.44,-3.854988,-0.857117,19.126389,3.9506822,77.51397,90.30851,1014.62244,0,0,1234786,7.2969675,70.267525,350.62354,78.6
2022/1/4 4:00,14.8,9.4,0.44,-3.6832182,-0.77576095,19.06797,3.7666254,78.16904,90.62297,1014.2259,0,0,1234218,7.3859644,76.42776,354.62607,73.6
2022/1/4 5:00,13.6,10.6,0.44,-3.5689516,-0.81304246,19.073318,3.6622155,77.216415,90.709885,1014.19244,0,0,1245861,7.532182,80.61755,354.32062,68.6
